date,sales,unit_purchase_cost,fixed_order_cost
2022-06-03,25,50.04,179.9
2022-06-04,21,54.98,200.51
2022-06-05,26,51.36,183.41
2022-06-06,26,58.04,154.31
2022-06-07,18,57.43,192.35
2022-06-08,24,55.54,184.17
2022-06-09,27,56.9,208.84
2022-06-10,21,51.02,125.82
2022-06-11,29,56.75,130.08
2022-06-12,24,56.94,166.4
2022-06-13,21,47.08,147.19
2022-06-14,23,52.24,179.21
2022-06-15,20,48.12,191.12
2022-06-16,30,53.37,154.03
2022-06-17,22,43.08,158.71
2022-06-18,31,41.73,147.75
2022-06-19,29,42.58,122.04
2022-06-20,29,47.33,199.29
2022-06-21,23,55.15,126.75
2022-06-22,30,57.03,122.96
2022-06-23,21,39.11,192.83
2022-06-24,30,40.86,133.15
2022-06-25,24,41.79,157.45
2022-06-26,27,46.55,149.34
2022-06-27,19,42.76,196.48
2022-06-28,30,55.98,184.65
2022-06-29,28,50.24,154.33
2022-06-30,23,51.84,190.07
2022-07-01,25,41.97,144.58
2022-07-02,26,55.18,139.95
2022-07-03,19,39.14,148.05
2022-07-04,28,54.09,175.63
2022-07-05,32,50.12,121.29
2022-07-06,28,48.72,132.73
2022-07-07,25,46.38,164.6
2022-07-08,30,54.05,184.13
2022-07-09,32,48.57,162.03
2022-07-10,26,57.95,180.06
2022-07-11,20,55.85,156.22
2022-07-12,32,57.1,171.6
2022-07-13,23,52.34,132.44
2022-07-14,26,46.44,188.46
2022-07-15,30,45.85,151.66
2022-07-16,24,46.02,181.17
2022-07-17,21,55.55,159.08
2022-07-18,22,53.29,127.06
2022-07-19,29,56.48,189.04
2022-07-20,29,47.15,136.17
2022-07-21,21,41.63,164.59
2022-07-22,28,58.14,124.14
2022-07-23,32,48.51,139.98
2022-07-24,28,42.67,129.23
2022-07-25,30,52.55,124.82
2022-07-26,33,43.76,175.81
2022-07-27,23,44.37,210.86
2022-07-28,24,57.56,156.63
2022-07-29,24,44.21,189.18
2022-07-30,22,42.74,209.05
2022-07-31,25,45.53,195.68
2022-08-01,29,48.34,161.54
2022-08-02,30,45.62,133.31
2022-08-03,21,49.01,151.89
2022-08-04,20,50.31,184.98
2022-08-05,27,55.29,160.09
2022-08-06,29,48.0,193.02
2022-08-07,29,56.11,157.3
2022-08-08,32,54.92,182.35
2022-08-09,28,53.32,148.55
2022-08-10,31,56.59,202.94
2022-08-11,23,39.82,171.49
2022-08-12,25,47.87,195.14
2022-08-13,27,39.17,181.32
2022-08-14,26,41.34,175.24
2022-08-15,25,57.52,166.12
2022-08-16,24,57.51,172.75
2022-08-17,30,57.21,197.5
2022-08-18,23,47.39,206.78
2022-08-19,28,47.17,138.25
2022-08-20,32,56.07,165.24
2022-08-21,27,45.24,160.09
2022-08-22,24,53.17,201.88
2022-08-23,29,41.58,159.16
2022-08-24,27,38.44,137.44
2022-08-25,21,50.76,118.61
2022-08-26,25,46.01,164.3
2022-08-27,22,53.31,190.97
2022-08-28,26,51.34,131.59
2022-08-29,28,44.73,118.36
2022-08-30,22,57.37,133.84
2022-08-31,30,51.66,200.5
2022-09-01,22,57.48,179.25
2022-09-02,26,46.0,143.13
2022-09-03,31,45.07,172.19
2022-09-04,34,51.97,148.89
2022-09-05,29,41.3,141.26
2022-09-06,22,38.73,116.4
2022-09-07,25,41.18,170.33
2022-09-08,29,39.41,204.35
2022-09-09,32,52.03,121.31
2022-09-10,33,42.59,172.12
2022-09-11,32,49.92,191.66
2022-09-12,26,44.11,122.6
2022-09-13,30,43.08,172.92
2022-09-14,31,54.96,203.18
2022-09-15,29,54.74,123.85
2022-09-16,32,40.35,201.45
2022-09-17,26,53.09,171.96
2022-09-18,29,54.16,190.88
2022-09-19,23,56.03,150.23
2022-09-20,23,52.62,190.48
2022-09-21,30,53.58,195.28
2022-09-22,33,55.37,155.64
2022-09-23,31,39.24,200.39
2022-09-24,33,38.42,171.32
2022-09-25,34,54.31,130.92
2022-09-26,34,40.25,191.97
2022-09-27,27,49.32,131.49
2022-09-28,26,48.44,205.29
2022-09-29,23,41.65,199.89
2022-09-30,27,38.51,121.34
2022-10-01,32,46.7,192.75
2022-10-02,35,48.65,116.74
2022-10-03,31,51.86,145.69
2022-10-04,27,52.17,153.66
2022-10-05,30,39.14,129.75
2022-10-06,26,39.39,179.24
2022-10-07,35,52.22,176.63
2022-10-08,28,47.22,125.12
2022-10-09,25,48.97,171.32
2022-10-10,27,55.28,162.5
2022-10-11,33,48.81,192.31
2022-10-12,27,39.65,207.09
2022-10-13,32,53.46,189.95
2022-10-14,28,40.54,200.87
2022-10-15,31,41.84,166.16
2022-10-16,24,56.37,176.47
2022-10-17,36,37.99,162.36
2022-10-18,27,44.38,140.28
2022-10-19,34,37.87,140.08
2022-10-20,32,52.51,204.47
2022-10-21,29,55.04,212.95
2022-10-22,34,38.34,125.19
2022-10-23,33,46.16,186.47
2022-10-24,36,52.45,121.35
2022-10-25,27,52.91,136.41
2022-10-26,35,41.68,122.72
2022-10-27,27,40.53,122.23
2022-10-28,36,46.88,126.87
2022-10-29,28,52.74,118.03
2022-10-30,28,49.34,124.03
2022-10-31,29,39.16,150.13
2022-11-01,34,45.16,211.55
2022-11-02,31,42.48,118.04
2022-11-03,35,56.05,181.97
2022-11-04,29,53.01,120.31
2022-11-05,31,43.19,176.9
2022-11-06,36,48.78,124.52
2022-11-07,30,42.34,209.31
2022-11-08,30,40.5,181.58
2022-11-09,36,37.64,122.55
2022-11-10,31,48.17,191.25
2022-11-11,33,49.22,169.09
2022-11-12,34,43.2,141.56
2022-11-13,28,56.49,205.62
2022-11-14,35,56.25,206.26
2022-11-15,30,44.16,119.58
2022-11-16,30,39.62,148.91
2022-11-17,33,53.58,200.06
2022-11-18,27,53.06,173.08
2022-11-19,36,54.06,194.05
2022-11-20,29,56.88,127.13
2022-11-21,25,52.87,204.16
2022-11-22,34,42.41,138.66
2022-11-23,28,37.57,192.02
2022-11-24,35,42.15,138.81
2022-11-25,33,42.25,117.51
2022-11-26,29,54.23,167.62
2022-11-27,24,43.72,133.79
2022-11-28,28,52.46,180.5
2022-11-29,34,38.46,137.44
2022-11-30,31,44.61,208.86
2022-12-01,37,41.11,185.93
2022-12-02,30,50.3,151.48
2022-12-03,25,37.93,183.66
2022-12-04,26,51.64,118.95
2022-12-05,35,39.56,134.47
2022-12-06,32,49.26,172.57
2022-12-07,25,50.92,161.54
2022-12-08,37,38.46,134.03
2022-12-09,31,49.7,209.69
2022-12-10,29,49.45,196.65
2022-12-11,28,42.19,167.07
2022-12-12,31,43.11,214.7
2022-12-13,32,56.27,118.67
2022-12-14,35,37.56,153.03
2022-12-15,36,47.84,215.71
2022-12-16,33,44.31,147.57
2022-12-17,30,52.55,199.1
2022-12-18,28,43.62,199.09
2022-12-19,30,44.0,166.43
2022-12-20,26,53.69,128.97
2022-12-21,34,44.78,185.27
2022-12-22,29,54.63,152.04
2022-12-23,36,55.24,121.3
2022-12-24,30,47.14,157.02
2022-12-25,33,46.51,190.29
2022-12-26,28,52.4,155.15
2022-12-27,37,50.06,139.4
2022-12-28,36,40.79,165.75
2022-12-29,28,42.16,194.81
2022-12-30,33,48.47,198.97
2022-12-31,36,42.24,121.24
2023-01-01,32,48.85,185.02
2023-01-02,35,45.14,183.67
2023-01-03,26,45.4,176.27
2023-01-04,38,44.27,199.94
2023-01-05,36,40.78,134.13
2023-01-06,29,45.73,177.18
2023-01-07,28,47.17,121.62
2023-01-08,34,42.98,151.66
2023-01-09,39,46.77,124.46
2023-01-10,26,48.8,150.79
2023-01-11,34,45.14,183.64
2023-01-12,36,44.93,127.28
2023-01-13,38,48.8,164.0
2023-01-14,30,51.61,164.48
2023-01-15,28,47.13,209.24
2023-01-16,34,39.26,177.89
2023-01-17,28,48.13,175.02
2023-01-18,27,52.3,135.21
2023-01-19,34,51.9,131.83
2023-01-20,34,39.35,186.29
2023-01-21,33,54.53,207.76
2023-01-22,38,40.54,166.95
2023-01-23,33,51.23,133.3
2023-01-24,31,37.87,136.26
2023-01-25,27,55.92,208.81
2023-01-26,36,39.14,170.91
2023-01-27,27,43.8,150.16
2023-01-28,32,48.55,155.35
2023-01-29,35,45.9,198.7
2023-01-30,32,45.86,148.1
2023-01-31,30,48.22,192.58
2023-02-01,35,38.16,162.99
2023-02-02,27,56.15,133.63
2023-02-03,28,56.61,139.24
2023-02-04,28,47.41,162.11
2023-02-05,29,48.6,153.57
2023-02-06,34,52.43,177.61
2023-02-07,35,38.53,159.74
2023-02-08,29,44.72,149.75
2023-02-09,35,56.37,186.61
2023-02-10,36,43.37,135.59
2023-02-11,33,47.21,195.61
2023-02-12,38,54.86,147.17
2023-02-13,33,42.42,128.25
2023-02-14,29,55.54,174.6
2023-02-15,27,37.48,127.98
2023-02-16,37,43.85,164.2
2023-02-17,29,46.93,214.09
2023-02-18,34,54.1,154.3
2023-02-19,37,41.58,178.01
2023-02-20,32,51.19,188.7
2023-02-21,37,46.97,132.08
2023-02-22,29,52.56,214.45
2023-02-23,34,55.3,207.24
2023-02-24,29,54.0,143.03
2023-02-25,29,49.85,165.42
2023-02-26,34,45.52,163.85
2023-02-27,29,55.62,170.67
2023-02-28,32,37.55,201.55
2023-03-01,35,56.28,130.35
2023-03-02,38,43.32,215.07
2023-03-03,36,50.33,117.27
2023-03-04,29,38.72,178.12
2023-03-05,36,49.05,213.77
2023-03-06,37,46.4,181.64
2023-03-07,29,48.83,146.15
2023-03-08,32,37.48,189.46
2023-03-09,37,54.73,131.11
2023-03-10,35,53.02,179.89
2023-03-11,28,47.93,170.16
2023-03-12,31,52.92,160.84
2023-03-13,39,43.04,141.78
2023-03-14,36,47.48,181.53
2023-03-15,40,54.06,196.42
2023-03-16,41,51.19,154.14
2023-03-17,31,45.51,178.84
2023-03-18,37,49.94,149.67
2023-03-19,35,55.57,191.72
2023-03-20,29,40.59,149.7
2023-03-21,37,43.97,161.58
2023-03-22,37,38.9,213.35
2023-03-23,34,43.25,133.53
2023-03-24,34,44.77,160.73
2023-03-25,33,41.45,206.61
2023-03-26,35,53.07,200.56
2023-03-27,38,42.56,130.21
2023-03-28,31,37.62,132.98
2023-03-29,34,52.59,172.2
2023-03-30,40,48.78,148.6
2023-03-31,40,38.63,212.42
2023-04-01,33,50.01,205.61
2023-04-02,31,46.73,157.79
2023-04-03,39,38.66,193.81
2023-04-04,34,49.82,144.48
2023-04-05,40,47.8,179.68
2023-04-06,31,41.34,123.05
2023-04-07,35,55.42,145.32
2023-04-08,29,55.85,128.91
2023-04-09,32,46.33,205.33
2023-04-10,30,47.65,179.31
2023-04-11,39,39.85,140.87
2023-04-12,39,47.57,150.33
2023-04-13,32,53.94,166.31
2023-04-14,33,49.52,201.85
2023-04-15,33,56.16,209.83
2023-04-16,39,40.88,159.51
2023-04-17,41,40.51,209.58
2023-04-18,37,39.3,206.76
2023-04-19,36,54.53,118.64
2023-04-20,29,36.69,197.97
2023-04-21,30,39.37,159.22
2023-04-22,42,43.84,119.19
2023-04-23,31,45.55,158.07
2023-04-24,41,51.37,172.94
2023-04-25,31,48.09,140.73
2023-04-26,31,45.24,141.06
2023-04-27,31,53.66,141.61
2023-04-28,40,43.39,173.78
2023-04-29,37,39.72,138.03
2023-04-30,39,44.34,187.47
2023-05-01,31,45.03,196.34
2023-05-02,33,44.9,118.79
2023-05-03,39,48.9,191.67
2023-05-04,39,53.99,138.56
2023-05-05,40,40.63,118.68
2023-05-06,40,53.03,192.96
2023-05-07,40,41.85,191.74
2023-05-08,40,52.27,141.18
2023-05-09,43,46.52,146.91
2023-05-10,40,45.09,122.83
2023-05-11,37,45.81,122.13
2023-05-12,42,48.1,195.02
2023-05-13,39,47.65,158.0
2023-05-14,42,41.57,167.39
2023-05-15,43,44.45,135.84
2023-05-16,31,42.36,211.98
2023-05-17,39,47.19,187.68
2023-05-18,41,47.64,194.05
2023-05-19,35,55.65,206.51
2023-05-20,32,49.02,116.4
2023-05-21,38,52.98,181.6
2023-05-22,32,51.91,125.19
2023-05-23,32,54.46,162.96
2023-05-24,39,37.84,124.17
2023-05-25,35,48.72,160.56
2023-05-26,35,42.82,128.75
2023-05-27,35,53.02,163.99
2023-05-28,32,41.01,203.26
2023-05-29,34,55.63,199.03
2023-05-30,44,45.68,166.87
2023-05-31,35,37.47,199.04
2023-06-01,32,48.95,198.58
2023-06-02,40,49.45,140.73
2023-06-03,43,40.71,146.87
2023-06-04,33,47.45,144.57
2023-06-05,31,42.41,207.43
2023-06-06,39,41.55,159.12
2023-06-07,37,35.84,176.28
2023-06-08,43,42.16,210.95
2023-06-09,37,41.73,196.37
2023-06-10,31,40.93,180.86
2023-06-11,36,52.76,134.34
2023-06-12,44,43.33,200.04
2023-06-13,43,41.25,174.5
2023-06-14,32,51.86,159.55
2023-06-15,32,36.15,162.96
2023-06-16,38,39.02,192.12
2023-06-17,33,39.79,208.7
2023-06-18,40,48.24,123.9
2023-06-19,32,53.74,187.62
2023-06-20,42,47.73,127.93
2023-06-21,32,39.1,215.9
2023-06-22,43,46.81,124.67
2023-06-23,41,45.24,203.67
2023-06-24,42,39.12,122.38
2023-06-25,38,45.69,147.52
2023-06-26,45,38.73,150.21
2023-06-27,38,51.26,140.33
2023-06-28,45,37.64,191.99
2023-06-29,34,41.32,140.87
2023-06-30,43,53.45,133.58
2023-07-01,32,46.19,142.99
2023-07-02,41,42.67,132.54
2023-07-03,33,42.51,133.37
2023-07-04,44,35.94,119.22
2023-07-05,41,52.09,194.57
2023-07-06,44,53.11,189.3
2023-07-07,40,35.59,125.35
2023-07-08,35,46.15,136.76
2023-07-09,41,45.95,145.3
2023-07-10,37,39.11,140.07
2023-07-11,45,38.37,165.12
2023-07-12,39,55.32,191.43
2023-07-13,37,48.01,147.08
2023-07-14,34,53.74,215.19
2023-07-15,34,49.06,173.1
2023-07-16,45,42.94,187.58
2023-07-17,39,49.01,181.41
2023-07-18,34,50.8,142.69
2023-07-19,41,44.27,143.74
2023-07-20,36,44.84,183.47
2023-07-21,37,41.56,132.83
2023-07-22,44,47.27,130.41
2023-07-23,45,52.72,148.45
2023-07-24,44,51.62,127.61
2023-07-25,43,40.9,143.94
2023-07-26,38,46.74,182.59
2023-07-27,34,35.55,150.25
2023-07-28,41,52.0,116.37
2023-07-29,41,51.33,206.74
2023-07-30,39,43.68,170.62
2023-07-31,41,49.36,159.47
2023-08-01,44,42.47,155.3
2023-08-02,35,50.78,211.79
2023-08-03,43,38.63,196.32
2023-08-04,37,50.24,125.27
2023-08-05,45,40.71,134.1
2023-08-06,35,50.91,127.66
2023-08-07,45,49.95,193.51
2023-08-08,42,40.79,125.23
2023-08-09,45,44.36,142.39
2023-08-10,41,42.55,152.96
2023-08-11,39,51.55,127.97
2023-08-12,39,49.0,213.76
2023-08-13,36,37.8,163.27
2023-08-14,34,44.11,193.93
2023-08-15,37,35.75,143.67
2023-08-16,44,36.8,152.66
2023-08-17,36,47.37,126.08
2023-08-18,37,48.91,197.04
2023-08-19,45,45.96,152.68
2023-08-20,37,54.18,162.94
2023-08-21,38,37.81,167.72
2023-08-22,37,40.61,206.87
2023-08-23,46,48.8,159.19
2023-08-24,36,48.02,157.82
2023-08-25,44,36.38,151.8
2023-08-26,42,54.15,147.12
2023-08-27,38,53.61,116.33
2023-08-28,45,53.35,193.35
2023-08-29,43,40.41,181.52
2023-08-30,36,54.79,142.57
2023-08-31,45,49.11,142.09
2023-09-01,42,42.78,133.35
2023-09-02,46,37.32,192.19
2023-09-03,42,50.38,127.5
2023-09-04,43,38.72,214.15
2023-09-05,46,48.06,163.42
2023-09-06,42,48.96,208.04
2023-09-07,42,39.69,198.98
2023-09-08,44,53.92,141.63
2023-09-09,38,44.1,181.03
2023-09-10,35,51.73,176.23
2023-09-11,42,45.22,144.29
2023-09-12,45,39.17,200.85
2023-09-13,38,49.36,185.43
2023-09-14,42,46.07,204.58
2023-09-15,47,35.13,170.0
2023-09-16,46,52.2,201.23
2023-09-17,38,50.45,121.86
2023-09-18,37,44.24,195.94
2023-09-19,37,40.06,147.95
2023-09-20,39,39.38,186.95
2023-09-21,41,50.46,131.06
2023-09-22,45,46.75,133.74
2023-09-23,36,47.49,121.03
2023-09-24,35,48.52,131.52
2023-09-25,42,39.98,197.97
2023-09-26,40,41.02,197.43
2023-09-27,43,36.13,156.15
2023-09-28,45,51.6,132.43
2023-09-29,46,40.29,187.22
2023-09-30,47,50.43,200.53
2023-10-01,36,50.68,168.8
2023-10-02,36,34.78,122.75
2023-10-03,45,40.44,206.11
2023-10-04,44,45.82,189.58
2023-10-05,47,52.79,168.4
2023-10-06,44,49.96,188.79
2023-10-07,47,42.5,147.77
2023-10-08,42,40.1,116.91
2023-10-09,47,43.11,141.61
2023-10-10,45,52.4,130.43
2023-10-11,44,46.81,128.56
2023-10-12,49,37.42,150.24
2023-10-13,43,45.24,167.59
2023-10-14,42,50.09,147.5
2023-10-15,46,50.42,204.93
2023-10-16,44,45.39,180.9
2023-10-17,48,37.34,138.96
2023-10-18,46,38.45,206.65
2023-10-19,39,50.19,203.68
2023-10-20,43,35.22,138.07
2023-10-21,44,36.72,149.34
2023-10-22,48,41.31,154.79
2023-10-23,48,41.62,145.95
2023-10-24,43,41.87,205.48
2023-10-25,36,53.6,214.25
2023-10-26,42,44.38,160.23
2023-10-27,44,41.01,181.58
2023-10-28,48,51.45,138.05
2023-10-29,40,53.5,126.79
2023-10-30,39,34.76,206.07
2023-10-31,42,46.86,162.17
2023-11-01,39,49.62,157.76
2023-11-02,47,48.88,131.68
2023-11-03,48,36.32,193.78
2023-11-04,45,37.5,166.39
2023-11-05,45,53.83,205.66
2023-11-06,41,45.21,182.37
2023-11-07,45,39.01,134.28
2023-11-08,45,53.35,201.02
2023-11-09,43,47.99,142.35
2023-11-10,50,43.85,145.62
2023-11-11,49,49.34,184.46
2023-11-12,41,37.73,149.11
2023-11-13,46,44.0,135.81
2023-11-14,44,48.71,204.98
2023-11-15,42,44.18,177.43
2023-11-16,37,47.26,204.69
2023-11-17,44,54.0,131.26
2023-11-18,48,51.77,184.79
2023-11-19,39,42.91,181.92
2023-11-20,48,36.43,202.76
2023-11-21,42,50.56,170.5
2023-11-22,47,37.86,197.78
2023-11-23,41,44.37,210.83
2023-11-24,46,42.81,212.76
2023-11-25,39,44.71,206.46
2023-11-26,43,36.48,119.56
2023-11-27,41,42.18,156.98
2023-11-28,44,39.55,183.48
2023-11-29,44,40.61,195.25
2023-11-30,45,45.29,190.25
2023-12-01,41,48.17,167.53
2023-12-02,38,41.71,200.83
2023-12-03,39,40.77,191.02
2023-12-04,43,52.28,150.14
2023-12-05,47,36.31,209.3
2023-12-06,48,52.78,170.74
2023-12-07,38,37.93,167.09
2023-12-08,45,34.69,165.78
2023-12-09,42,48.31,178.25
2023-12-10,48,45.45,208.3
2023-12-11,44,53.07,154.99
2023-12-12,50,38.99,193.87
2023-12-13,48,41.0,138.72
2023-12-14,45,41.59,136.83
2023-12-15,41,51.67,150.92
2023-12-16,41,34.65,206.37
2023-12-17,49,47.09,155.83
2023-12-18,42,41.27,117.9
2023-12-19,49,37.22,185.47
2023-12-20,47,38.16,155.91
2023-12-21,41,39.13,163.69
2023-12-22,48,47.32,188.97
2023-12-23,49,48.73,205.55
2023-12-24,47,36.54,172.88
2023-12-25,46,38.06,141.5
2023-12-26,48,36.02,126.39
2023-12-27,48,38.07,154.69
2023-12-28,50,50.01,154.22
2023-12-29,41,50.48,144.76
2023-12-30,46,35.7,125.13
2023-12-31,49,37.54,133.37
2024-01-01,41,41.13,206.17
2024-01-02,49,34.03,207.45
2024-01-03,49,40.58,147.15
2024-01-04,47,39.7,210.27
2024-01-05,40,47.34,144.46
2024-01-06,39,47.39,133.16
2024-01-07,40,50.11,175.61
2024-01-08,43,48.24,207.62
2024-01-09,50,47.02,146.28
2024-01-10,48,46.04,177.43
2024-01-11,42,42.24,167.58
2024-01-12,42,39.99,172.57
2024-01-13,49,37.83,177.61
2024-01-14,42,40.1,182.06
2024-01-15,49,44.69,126.83
2024-01-16,48,39.22,130.2
2024-01-17,43,43.76,216.07
2024-01-18,46,46.86,163.42
2024-01-19,47,44.1,157.85
2024-01-20,44,42.7,175.95
2024-01-21,41,39.1,135.67
2024-01-22,48,51.36,197.17
2024-01-23,50,49.47,151.98
2024-01-24,52,40.9,166.14
2024-01-25,50,49.61,144.43
2024-01-26,45,34.6,203.49
2024-01-27,45,37.09,124.84
2024-01-28,48,49.44,167.7
2024-01-29,42,49.0,119.6
2024-01-30,43,48.92,177.46
2024-01-31,49,45.94,157.08
2024-02-01,41,42.83,153.34
2024-02-02,47,50.93,169.2
2024-02-03,42,53.03,157.27
2024-02-04,46,40.34,117.91
2024-02-05,51,33.91,160.77
2024-02-06,50,50.41,203.57
2024-02-07,47,36.21,153.43
2024-02-08,51,40.6,167.82
2024-02-09,43,39.2,181.9
2024-02-10,46,35.71,155.87
2024-02-11,52,44.46,116.21
2024-02-12,45,49.67,126.13
2024-02-13,46,50.62,195.11
2024-02-14,52,52.72,185.12
2024-02-15,53,49.71,177.89
2024-02-16,52,33.72,200.53
2024-02-17,44,33.77,160.5
2024-02-18,48,41.92,140.71
2024-02-19,48,45.41,149.9
2024-02-20,41,40.98,183.33
2024-02-21,45,46.9,160.49
2024-02-22,46,40.1,152.05
2024-02-23,45,44.3,185.87
2024-02-24,42,51.32,170.41
2024-02-25,43,48.24,210.86
2024-02-26,47,52.98,156.6
2024-02-27,49,40.87,123.34
2024-02-28,46,36.0,141.63
2024-02-29,48,47.33,134.91
2024-03-01,43,40.21,121.53
2024-03-02,51,51.23,203.81
2024-03-03,51,49.94,148.81
2024-03-04,48,52.86,140.89
2024-03-05,52,41.38,148.54
2024-03-06,47,38.92,214.72
2024-03-07,53,44.53,158.61
2024-03-08,43,38.75,168.89
2024-03-09,45,46.64,122.49
2024-03-10,54,36.88,131.21
2024-03-11,53,35.17,138.19
2024-03-12,44,46.61,131.66
2024-03-13,50,39.93,176.85
2024-03-14,52,40.9,183.5
2024-03-15,42,40.91,146.04
2024-03-16,52,37.48,186.21
2024-03-17,53,40.66,175.83
2024-03-18,51,35.0,200.43
2024-03-19,42,44.23,177.97
2024-03-20,49,43.13,179.73
2024-03-21,47,48.13,122.59
2024-03-22,53,39.54,198.45
2024-03-23,44,37.49,157.34
2024-03-24,44,43.4,123.15
2024-03-25,45,51.95,160.04
2024-03-26,49,38.66,145.41
2024-03-27,45,51.3,203.15
2024-03-28,44,45.67,202.96
2024-03-29,52,40.62,145.52
2024-03-30,47,47.58,210.36
